rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
31	689.069	976.579	397.834	271.131	9147	126.967	93.5711	0.675926	0.962741	391.747	876.335	195.819	0.223453	445.8	315.1314	260.786	-195.441	84.5421	0.225428	375.03	14137	0.94505	507.765	403.124	693.652	649.515	0.442308	722.739	661.844	349.468	0.503808	1234	2752	133.587	50.5108	8	3722.05	0.406914	65.5687	12.6595	33.9454	13.3583	486	67	154.25	148.37	185	488	97.1568	2.34825	2	195.075	0.0213267	36.8994	36.8994	36.8994	0	95	90	92.5	3.53553	  Tumour 
32	700.336	567.973	800.438	109.202	2205	81.5639	38.9989	0.878284	0.798046	232.551	769.904	202.589	0.263136	478.264	347.5954	170.485	11.4736	31.4045	0.110296	284.729	4547	0.840015	325.38	187.953	221.842	177.705	0.316151	229.728	226.91	299.805	1.35144	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
33	715.846	613.218	840.406	145.911	3159	89.2225	46.0617	0.856434	0.969018	235.622	1010.6	336.117	0.332591	731.7	601.0314	170.134	52.3159	41.3302	0.145335	284.378	4787	0.973957	283.924	77.2854	77.9105	33.7738	0.303502	96.8974	75.195	18.8353	0.241756	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	96	97	112.385	17.5769	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	96	96	96	0	  DCIS 
34	707.442	229.547	666.033	158.496	1328	47.4363	35.9251	0.653028	0.963716	142.125	838.431	280.912	0.335045	583.513	452.8444	183.794	16.3457	34.4619	0.115629	298.038	2604	0.990868	193.255	97.8061	121.606	77.4689	0	0	0	94.9536	0.780833	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
35	715.269	31.6544	662.906	333.054	1496	67.7893	28.366	0.908242	0.96144	168.811	846.144	258.364	0.305343	617.945	487.2764	61.3678	3.79248	27.2286	0.15505	175.612	2592	0.991584	203.113	47.9672	46.2938	2.15711	0	0	0	5.99752	0.129553	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
36	759.761	840.552	456.124	176.377	3447	88.2508	52.624	0.802761	0.946198	250.551	745.453	157.674	0.211514	426.5	295.8314	344.202	-78.1326	69.7755	0.1522	458.446	11136	0.673399	616.801	415.272	497.092	452.956	0.593346	484.981	501.704	223.192	0.448996	622	1123	175.111	92.035	1	0	0	 NaN 	 NaN 	 NaN 	0	393	229	311	115.966	273	1247	110.901	16.0926	2	360.731	0.104651	62.502	62.502	62.502	0	138	135	136.5	2.12132	  Tumour 
37	777.073	282.7	746.328	162.542	1519	52.2758	37.3731	0.699206	0.966285	154.024	723.957	162.81	0.22489	436.159	305.4904	205.211	-7.02846	55.1721	0.172707	319.455	2750	0.954198	209.154	63.5229	63.8808	19.7441	0.207254	67.525	64.2023	7.83231	0.122608	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
38	805.592	351.172	793.757	164.757	5013	85.5558	74.9763	0.481687	0.982556	273.522	1423.2	608.954	0.427877	969.355	838.6864	151.754	13.4684	33.168	0.124693	265.997	7393	0.96464	342.894	61.59	61.3569	17.2202	0.189711	63.2712	61.5839	8.28706	0.135063	120	126	143.433	60.3574	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	120	120	120	0	132	143	102.636	7.82785	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	132	132	132	0	  DCIS 
39	811.615	922.148	509.362	136.418	7031	124.405	73.0456	0.809472	0.958947	371.889	929.729	263.606	0.28353	422.408	291.7394	427.562	-119.108	98.3591	0.181539	541.806	11036	0.93304	473.019	431.3	559.726	515.589	0.307143	547.31	557.203	233.294	0.416799	1474	3524	166.946	83.8698	5	1948.62	0.277147	88.2487	21.0121	43.84	22.7219	622	69	294.8	236.018	93	93	105	10.1915	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	93	93	93	0	  Tumour 
40	819.271	439.663	838.697	150.765	2004	60.5185	44.3672	0.680101	0.897046	193.823	670.162	195.366	0.29152	372.583	241.9144	110.066	34.8811	34.6127	0.154308	224.309	3358	0.926856	243.966	56.145	55.0048	10.8681	0.352381	55.027	54.487	4.57944	0.0832553	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
