rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
31	611.756	594.941	648.445	518.117	14406	153.964	121.322	0.615688	0.965032	471.446	1060.4	279.276	0.263369	709.345	847.271	598.523	30.3946	59.6875	0.0890685	670.131	24221	0.931434	675.505	625.186	930.477	880.647	0.5	1023.79	897.368	275.532	0.296119	1381	6027	115.051	36.8954	16	2698.8	0.187339	103.975	10.014	48.5418	24.2462	187	30	81.2353	50.3345	188	1401	148.17	40.83	3	766.888	0.0532339	119.663	37.9881	79.7755	36.5558	94	43	62.6667	27.4287	  Tumour 
32	610.565	355.41	551.98	567.276	9980	124.467	102.523	0.567036	0.979776	387.362	1395.3	512.472	0.367285	977.239	1182.17	700.255	5.19007	68.9763	0.0893635	771.863	15575	0.92747	599.688	709.681	1004.86	955.034	0.610801	1099.26	943.855	449.42	0.447244	434	2271	114.929	36.7733	8	2191.55	0.219594	61.1956	10.4373	33.4601	15.7387	116	35	54.25	25.8498	112	133	156.518	49.1776	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	112	112	112	0	  Tumour 
33	623.661	226.933	552.073	619.262	13398	136.313	125.635	0.387985	0.977385	448.617	1120.83	305.757	0.272796	694.398	907.697	594.095	-14.7063	86.5864	0.130068	665.702	18298	0.926856	594.693	653.087	941.63	891.8	0.578097	997.295	921.216	320.966	0.340862	992	4756	110.506	32.3508	13	4117.06	0.307289	88.0867	9.67656	39.3867	17.8064	128	38	70.8571	32.7293	117	291	129.111	21.7709	2	2500.6	0.18664	27.1057	27.1057	27.1057	0	64	53	58.5	7.77817	  Tumour 
34	692.16	93.1677	636.277	657.97	10125	169.847	77.5008	0.889827	0.960444	433.973	2040.24	447.796	0.219482	532.458	1827.11	1085.71	168.471	211.673	0.182899	1157.32	15925	0.872507	655.706	824.735	954.886	905.056	0.235974	1039.64	918.742	331.042	0.346682	1024	4656	139.464	61.3086	9	1442.94	0.142512	94.5251	11.8002	42.2986	19.0467	325	45	102.4	85.5235	180	1236	190.35	83.0098	4	2282.66	0.225448	71.0634	19.7231	40.1547	18.7694	45	45	45	0	  Tumour 
35	702.063	806.623	850.259	482.611	9232	120.723	99.2389	0.569433	0.942233	405.203	866.491	206.427	0.238233	450.748	653.363	502.166	9.86866	83.0331	0.144714	573.773	12174	0.887318	550.149	654.539	817.089	767.259	0.611881	846.146	801.552	362.914	0.444154	570	3706	108.728	30.5728	9	2177.75	0.235891	77.509	11.7893	43.7527	21.1092	123	36	63.3333	29.8957	180	1537	137.383	30.0431	3	1516.44	0.164259	86.6099	25.3783	60.0272	28.0874	77	45	60	16.0935	  Tumour 
36	741.478	224.823	669.09	529.341	7567	130.178	74.5858	0.819587	0.962355	360.09	958.608	275.963	0.287879	492.236	745.48	941.138	205.7	147.533	0.145676	1012.75	14310	0.860855	573.505	865.129	1153.62	1103.79	0.637066	1112.31	1168.79	347.3	0.301053	659	3077	115.266	37.1103	6	1033.37	0.136563	109.91	9.31814	47.0815	32.2713	268	39	94.1429	83.2755	60	61	136.383	29.0431	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	60	60	60	0	  Tumour 
37	748.072	362.487	687.642	441.823	7173	121.21	76.2524	0.777328	0.976982	341.706	1259.24	327.062	0.25973	728.526	1046.11	697.34	-61.3381	78.5943	0.10221	768.947	14476	0.928008	540.333	855.379	1171.5	1121.67	0.878099	1163.98	1197.59	540.8	0.461629	689	2811	135.9	57.7446	6	1446.47	0.201655	73.8722	14.3178	42.8959	21.7056	276	45	114.833	85.3731	79	80	143.291	35.9509	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	79	79	79	0	  Tumour 
38	730.964	466.439	697.984	416.083	4982	102.21	65.3809	0.768649	0.908461	320.777	744.127	149.112	0.200386	390.442	530.999	557.742	29.2718	69.9007	0.111068	629.349	14680	0.916126	522.458	692.338	806.607	756.777	0.741573	925.321	733.57	284.131	0.352255	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
39	782.965	902.176	974.206	470.673	17698	188.791	119.924	0.772333	0.977088	534.985	1189.47	385.606	0.324184	800.915	976.341	567.742	166.526	116.102	0.181594	639.349	24102	0.927071	739.186	482.037	637.38	587.55	0.325228	848.561	590.57	362.064	0.568051	1713	7185	124.748	46.5931	16	3293.86	0.186115	116.431	7.7375	53.7382	25.7514	342	30	100.765	92.75	157	261	146.879	39.5387	2	5025.51	0.283959	16.3922	16.3922	16.3922	0	81	76	78.5	3.53553	  Tumour 
40	797.652	442.978	754.934	360.701	6205	106.664	78.887	0.673064	0.870511	352.233	887.196	175.558	0.197879	421.265	674.068	608.125	-4.15665	69.2064	0.101814	679.733	9076	0.86504	484.451	702.359	945.199	895.369	0.866071	989.812	916.544	293.61	0.310633	448	3006	110.491	32.3358	8	1471.3	0.237115	87.5973	9.9595	41.8905	21.5131	104	30	56	23.4338	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
